Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2023-03-12,386,1048,276,10773,262
2023-03-13,357,1048,268,10794,253
2023-03-14,354,1036,242,10787,242
2023-03-15,368,1103,264,10781,270
2023-03-16,321,999,226,10756,249
2023-03-17,352,1030,247,10777,240
2023-03-18,342,1076,235,10763,244
2023-03-19,353,1064,264,10765,257
2023-03-20,364,1089,251,10779,243
2023-03-21,343,1044,231,10747,255
2023-03-22,333,1040,243,10767,224
2023-03-23,335,1003,256,10760,258
2023-03-24,360,1056,238,10750,248
2023-03-25,354,1048,255,10736,268
2023-03-26,332,1059,249,10716,263
2023-03-27,358,1046,257,10701,258
2023-03-28,376,1096,280,10704,275
2023-03-29,365,1004,263,10683,288
2023-03-30,344,1051,211,10660,243
2023-03-31,359,1065,256,10650,256
2023-04-01,404,1082,277,10663,264
2023-04-02,411,1048,297,10693,262
2023-04-03,403,1076,295,10706,278
2023-04-04,392,1051,285,10686,301
2023-04-05,380,1049,283,10675,279
2023-04-06,421,1117,285,10670,279
2023-04-07,404,1094,292,10696,279
2023-04-08,373,1043,248,10638,302
2023-04-09,413,1054,307,10648,292
2023-04-10,436,1068,307,10656,300
2023-04-11,411,1086,293,10676,285
2023-04-12,418,1076,311,10682,307
2023-04-13,417,1025,313,10697,298
2023-04-14,379,1082,272,10669,302
2023-04-15,427,1033,308,10684,284
2023-04-16,384,1056,285,10677,293
2023-04-17,424,1041,320,10707,286
2023-04-18,373,1036,278,10674,307
2023-04-19,417,1108,268,10644,293
2023-04-20,418,1044,315,10670,285
2023-04-21,379,1098,255,10629,303
2023-04-22,364,1012,291,10605,307
2023-04-23,362,1034,267,10611,270
2023-04-24,346,970,277,10580,297
2023-04-25,362,995,246,10552,272
2023-04-26,395,1035,269,10556,270
2023-04-27,353,994,282,10569,273
2023-04-28,344,1053,229,10527,272
2023-04-29,355,1089,249,10496,271
2023-04-30,376,1109,267,10509,255
2023-05-01,366,1028,275,10538,243
2023-05-02,314,1067,202,10480,263
2023-05-03,331,1026,227,10450,249
2023-05-04,331,1020,238,10433,249
2023-05-05,334,1029,248,10405,262
2023-05-06,327,978,240,10378,268
2023-05-07,356,1047,254,10374,260
2023-05-08,348,1008,252,10361,264
2023-05-09,360,1024,256,10362,261
2023-05-10,324,977,246,10357,254
2023-05-11,345,1010,253,10334,279
2023-05-12,329,1011,255,10313,276
2023-05-13,335,1026,237,10274,277
2023-05-14,329,988,239,10247,265
2023-05-15,324,1002,243,10195,286
2023-05-16,344,1029,246,10196,250
2023-05-17,360,1044,252,10174,284
2023-05-18,369,1045,256,10164,278
2023-05-19,367,993,250,10140,276
2023-05-20,352,1015,236,10116,265
2023-05-21,356,1043,232,10059,293
2023-05-22,395,1031,284,10070,277
2023-05-23,374,1041,249,10009,307
2023-05-24,386,1003,292,10009,298
2023-05-25,425,990,326,10060,304
2023-05-26,365,1067,258,10034,288
2023-05-27,361,1005,263,9985,303
2023-05-28,372,1015,262,9957,296
2023-05-29,366,1081,239,9905,286
2023-05-30,423,1007,311,9939,280
2023-05-31,356,987,290,9961,280
2023-06-01,372,1043,254,9935,287
2023-06-02,371,1023,247,9876,288
2023-06-03,352,1081,234,9832,292
2023-06-04,349,1040,245,9783,291
2023-06-05,351,954,284,9790,278
2023-06-06,359,995,244,9758,273
2023-06-07,376,975,281,9765,272
2023-06-08,355,979,248,9723,287
2023-06-09,362,993,232,9674,281
2023-06-10,321,927,243,9686,226
2023-06-11,320,973,218,9643,258
2023-06-12,299,1010,218,9591,265
2023-06-13,303,977,219,9546,251
2023-06-14,311,957,211,9526,241
2023-06-15,298,913,231,9494,254
2023-06-16,311,988,213,9470,236
2023-06-17,276,906,194,9427,242
2023-06-18,278,902,218,9422,233
2023-06-19,263,961,180,9336,253
2023-06-20,294,986,209,9309,261
2023-06-21,261,985,188,9270,233
2023-06-22,305,932,209,9255,237
2023-06-23,302,990,214,9219,258
2023-06-24,265,975,181,9157,250
2023-06-25,279,972,202,9090,276
2023-06-26,299,952,226,9054,273
2023-06-27,287,928,215,9014,264
2023-06-28,294,1021,200,8962,255
2023-06-29,326,952,225,8924,258
2023-06-30,328,964,236,8882,276
2023-07-01,340,1015,236,8878,243
2023-07-02,281,992,203,8817,258
2023-07-03,313,958,213,8766,252
2023-07-04,308,945,200,8712,249
2023-07-05,317,979,211,8646,274
2023-07-06,324,943,255,8608,273
2023-07-07,322,1005,201,8538,266
2023-07-08,344,943,234,8492,278
2023-07-09,343,1002,255,8473,270
2023-07-10,328,995,197,8367,293
2023-07-11,359,908,276,8374,273
2023-07-12,322,919,216,8311,283
2023-07-13,340,869,273,8304,273
2023-07-14,330,897,243,8265,280
2023-07-15,343,919,269,8254,288
2023-07-16,352,957,271,8246,272
2023-07-17,291,917,223,8208,257
2023-07-18,305,936,223,8187,246
2023-07-19,306,997,210,8128,264
2023-07-20,324,908,246,8149,220
2023-07-21,310,949,226,8113,254
2023-07-22,276,942,182,8054,243
2023-07-23,271,944,207,8015,252
2023-07-24,281,895,212,7992,245
2023-07-25,303,903,246,8006,235
2023-07-26,266,900,200,7992,229
2023-07-27,264,917,191,7947,238
2023-07-28,255,903,167,7891,224
2023-07-29,231,891,179,7838,231
2023-07-30,256,938,157,7790,207
2023-07-31,243,909,161,7723,219
2023-08-01,248,923,176,7675,231
2023-08-02,246,879,165,7659,204
2023-08-03,220,888,155,7600,210
2023-08-04,205,899,134,7532,197
2023-08-05,227,911,166,7488,206
2023-08-06,244,909,157,7427,222
2023-08-07,247,890,176,7396,217
2023-08-08,260,864,194,7384,201
2023-08-09,241,914,180,7358,206
2023-08-10,213,871,146,7313,187
2023-08-11,241,882,169,7279,215
2023-08-12,278,882,184,7220,237
2023-08-13,287,913,175,7164,231
2023-08-14,260,863,211,7164,216
2023-08-15,263,911,178,7122,227
2023-08-16,255,895,177,7064,234
2023-08-17,275,920,188,7022,222
2023-08-18,300,908,219,7024,218
2023-08-19,296,865,229,7018,230
2023-08-20,267,905,182,6957,239
2023-08-21,274,861,202,6927,231
2023-08-22,284,936,189,6869,248
2023-08-23,292,911,218,6862,238
2023-08-24,292,881,216,6821,249
2023-08-25,306,951,199,6762,259
2023-08-26,290,836,233,6765,225
2023-08-27,283,913,190,6710,237
2023-08-28,314,936,207,6697,219
2023-08-29,290,888,200,6672,220
2023-08-30,289,915,201,6642,239
2023-08-31,291,866,221,6625,237
2023-09-01,238,878,176,6588,217
2023-09-02,242,879,160,6532,217
2023-09-03,240,818,174,6514,198
2023-09-04,232,844,160,6472,198
2023-09-05,243,849,189,6450,217
2023-09-06,265,899,197,6458,203
2023-09-07,252,865,206,6440,216
2023-09-08,215,848,154,6419,182
2023-09-09,218,841,165,6410,182
2023-09-10,229,893,169,6356,216
2023-09-11,245,882,168,6341,193
2023-09-12,197,866,149,6291,197
2023-09-13,233,887,158,6236,202
2023-09-14,219,839,161,6212,182
2023-09-15,184,802,157,6207,171
2023-09-16,220,840,169,6165,202
2023-09-17,224,816,173,6168,179
2023-09-18,219,848,139,6111,192
2023-09-19,190,845,128,6072,173
2023-09-20,217,838,165,6041,197
2023-09-21,224,865,185,6039,195
2023-09-22,236,901,145,5988,197
2023-09-23,211,884,146,5930,192
2023-09-24,228,881,157,5906,178
2023-09-25,216,871,146,5848,195
2023-09-26,218,835,155,5808,198
2023-09-27,223,792,199,5824,185
2023-09-28,226,837,175,5781,220
2023-09-29,238,887,172,5728,218
2023-09-30,280,843,218,5738,209
2023-10-01,242,802,182,5726,201
2023-10-02,265,860,206,5735,206
2023-10-03,272,868,201,5690,248
2023-10-04,300,865,206,5701,198
2023-10-05,283,893,215,5730,196
2023-10-06,273,886,198,5712,221
2023-10-07,257,891,184,5700,199
2023-10-08,276,896,204,5704,196
2023-10-09,281,892,219,5719,205
2023-10-10,280,886,210,5730,199
2023-10-11,297,900,212,5733,209
2023-10-12,256,874,183,5681,227
2023-10-13,288,917,183,5680,185
2023-10-14,277,862,188,5663,207
2023-10-15,241,828,173,5621,210
2023-10-16,281,865,225,5650,187
2023-10-17,239,821,196,5637,210
2023-10-18,271,893,199,5586,226
2023-10-19,250,887,171,5558,194
2023-10-20,231,827,187,5549,201
2023-10-21,259,875,205,5572,178
2023-10-22,263,884,188,5585,161
2023-10-23,234,834,169,5565,180
2023-10-24,219,888,156,5519,198
2023-10-25,254,898,165,5498,188
2023-10-26,239,886,165,5494,188
2023-10-27,220,816,178,5499,184
2023-10-28,204,929,118,5433,185
2023-10-29,217,824,181,5437,182
2023-10-30,199,817,137,5405,160
2023-10-31,243,869,162,5409,165
2023-11-01,222,834,169,5399,171
2023-11-02,238,801,173,5400,182
2023-11-03,217,834,189,5426,167
2023-11-04,212,888,167,5434,166
2023-11-05,241,902,165,5410,173
2023-11-06,226,893,178,5421,162
2023-11-07,246,917,164,5408,185
2023-11-08,269,842,214,5448,185
2023-11-09,227,899,160,5427,194
2023-11-10,256,926,163,5404,184
2023-11-11,287,920,206,5428,173
2023-11-12,299,931,222,5492,177
2023-11-13,238,877,187,5480,202
2023-11-14,289,886,201,5480,216
2023-11-15,313,973,212,5486,202
2023-11-16,288,901,205,5473,219
2023-11-17,306,887,221,5485,197
2023-11-18,280,946,181,5465,201
2023-11-19,291,897,199,5454,200
2023-11-20,322,935,216,5476,214
2023-11-21,280,890,208,5476,211
2023-11-22,318,955,218,5483,221
2023-11-23,306,849,245,5518,214
2023-11-24,317,932,220,5518,228
2023-11-25,317,929,243,5528,225
2023-11-26,335,949,246,5540,240
2023-11-27,304,906,218,5532,217
2023-11-28,315,963,230,5543,217
2023-11-29,327,948,239,5554,211
2023-11-30,314,900,222,5573,200
2023-12-01,276,867,217,5577,207
2023-12-02,321,942,228,5601,204
2023-12-03,274,1000,202,5603,198
2023-12-04,293,923,231,5625,201
2023-12-05,326,986,232,5649,205
2023-12-06,295,900,226,5671,207
2023-12-07,275,976,194,5688,189
2023-12-08,336,932,247,5764,184
2023-12-09,259,979,189,5759,186
2023-12-10,304,936,244,5802,189
2023-12-11,282,955,207,5853,159
2023-12-12,252,943,169,5839,180
2023-12-13,265,944,184,5830,192
2023-12-14,278,958,214,5859,186
2023-12-15,299,954,241,5943,171
2023-12-16,267,955,200,5963,184
2023-12-17,275,922,225,6016,179
2023-12-18,326,982,235,6038,200
2023-12-19,277,963,191,6043,187
2023-12-20,321,956,246,6068,227
2023-12-21,311,962,254,6142,193
2023-12-22,296,954,221,6150,206
2023-12-23,348,975,257,6181,224
2023-12-24,336,967,248,6236,196
2023-12-25,316,960,238,6290,183
2023-12-26,325,1000,230,6330,203
2023-12-27,316,993,234,6335,229
2023-12-28,340,935,256,6366,219
2023-12-29,320,942,259,6397,234
2023-12-30,406,1036,294,6447,243
2023-12-31,348,950,254,6480,226
2024-01-01,369,1074,283,6521,229
2024-01-02,363,969,283,6554,265
2024-01-03,369,1043,295,6623,240
2024-01-04,378,956,325,6735,228
2024-01-05,380,1041,277,6771,245
2024-01-06,384,1055,292,6812,253
2024-01-07,377,1053,285,6845,239
2024-01-08,412,1073,295,6879,262
2024-01-09,412,1041,305,6935,255
2024-01-10,405,1117,270,6976,241
2024-01-11,406,1056,304,7042,243
2024-01-12,386,997,301,7080,261
2024-01-13,410,1018,320,7156,240
2024-01-14,408,1003,314,7218,244
2024-01-15,410,1059,293,7261,246
2024-01-16,397,1008,325,7329,245
2024-01-17,403,1058,322,7407,247
2024-01-18,368,1057,280,7440,244
2024-01-19,388,1065,300,7494,251
2024-01-20,393,1066,285,7566,221
2024-01-21,391,1005,306,7667,214
2024-01-22,381,1079,273,7722,241
2024-01-23,402,1059,312,7805,228
2024-01-24,352,958,284,7852,232
2024-01-25,362,1069,292,7905,227
2024-01-26,357,1004,290,7971,219
2024-01-27,363,1003,287,8016,240
2024-01-28,377,1061,292,8066,237
2024-01-29,358,1087,252,8102,223
2024-01-30,374,1009,321,8199,227
2024-01-31,366,1074,286,8280,205
2024-02-01,390,1046,303,8380,216
2024-02-02,399,1097,299,8456,238
2024-02-03,415,1121,325,8550,230
2024-02-04,384,1087,281,8609,228
2024-02-05,422,1090,341,8725,243
2024-02-06,428,1047,352,8844,227
2024-02-07,370,1060,289,8870,265
2024-02-08,410,1069,310,8934,256
2024-02-09,397,1119,313,9003,250
2024-02-10,401,1121,278,9032,248
2024-02-11,446,1051,354,9140,247
2024-02-12,446,1107,343,9235,260
2024-02-13,430,1166,316,9271,279
2024-02-14,443,1116,315,9326,278
2024-02-15,513,1131,397,9448,284
2024-02-16,477,1141,369,9537,297
2024-02-17,452,1151,343,9603,273
2024-02-18,497,1215,367,9698,285
2024-02-19,456,1106,359,9750,298
2024-02-20,505,1137,391,9862,296
2024-02-21,479,1162,364,9918,297
2024-02-22,520,1169,380,10001,292
2024-02-23,518,1170,367,10091,284
2024-02-24,526,1087,416,10199,309
2024-02-25,473,1148,362,10277,295
2024-02-26,461,1110,348,10358,274
2024-02-27,498,1125,408,10453,305
2024-02-28,511,1140,386,10565,276
2024-02-29,513,1160,398,10657,303
2024-03-01,537,1115,440,10795,289
2024-03-02,492,1166,379,10887,291
2024-03-03,502,1133,395,11011,275
2024-03-04,459,1131,369,11084,290
2024-03-05,443,1160,332,11152,260
2024-03-06,455,1131,369,11246,280
2024-03-07,487,1140,358,11313,285
2024-03-08,484,1150,388,11429,283
2024-03-09,435,1198,340,11502,275
2024-03-10,480,1183,365,11559,300
2024-03-11,502,1186,372,11662,262
2024-03-12,468,1199,372,11747,274
2024-03-13,483,1224,368,11843,290
2024-03-14,455,1173,343,11896,277
2024-03-15,473,1201,359,11962,291
2024-03-16,462,1239,361,12046,269
2024-03-17,465,1126,380,12144,272
2024-03-18,488,1118,394,12258,284
2024-03-19,475,1169,370,12357,264
2024-03-20,475,1186,376,12453,279
2024-03-21,488,1139,390,12542,298
2024-03-22,499,1191,395,12630,303
2024-03-23,504,1228,392,12727,304
2024-03-24,535,1209,396,12831,289
2024-03-25,506,1210,392,12914,313
2024-03-26,486,1172,391,12995,311
2024-03-27,535,1216,411,13108,302
2024-03-28,531,1163,412,13222,294
2024-03-29,535,1190,430,13360,292
2024-03-30,506,1164,429,13490,320
2024-03-31,519,1160,402,13555,338
2024-04-01,534,1152,433,13668,327
2024-04-02,552,1203,417,13759,317
2024-04-03,559,1180,432,13865,324
2024-04-04,568,1166,454,14015,309
2024-04-05,534,1169,411,14107,320
2024-04-06,537,1149,437,14219,330
2024-04-07,568,1205,433,14331,311
2024-04-08,572,1267,428,14437,328
2024-04-09,532,1199,407,14527,330
2024-04-10,536,1243,402,14584,343
2024-04-11,550,1195,432,14691,316
2024-04-12,522,1209,397,14745,333
2024-04-13,513,1186,404,14799,333
2024-04-14,548,1179,454,14914,345
2024-04-15,508,1182,404,14996,310
2024-04-16,526,1199,409,15070,331
2024-04-17,525,1195,397,15157,316
2024-04-18,503,1116,401,15227,323
2024-04-19,501,1194,410,15314,322
2024-04-20,496,1164,385,15387,307
2024-04-21,486,1138,376,15455,311
2024-04-22,488,1152,392,15552,303
2024-04-23,477,1127,406,15660,290
2024-04-24,462,1195,356,15707,300
2024-04-25,484,1227,363,15774,299
2024-04-26,475,1170,385,15860,310
2024-04-27,449,1175,357,15911,311
2024-04-28,489,1210,380,16004,287
2024-04-29,455,1181,362,16075,298
2024-04-30,470,1177,380,16132,304
2024-05-01,444,1127,353,16190,300
2024-05-02,448,1149,359,16235,308
2024-05-03,463,1158,385,16305,314
2024-05-04,438,1187,343,16349,308
2024-05-05,479,1168,366,16399,314
2024-05-06,452,1161,365,16438,314
2024-05-07,457,1093,413,16548,307
2024-05-08,463,1124,390,16634,319
2024-05-09,469,1126,364,16681,319
2024-05-10,496,1178,392,16742,334
2024-05-11,486,1169,400,16820,321
2024-05-12,508,1125,424,16936,305
2024-05-13,528,1136,407,16978,367
2024-05-14,493,1134,394,17027,330
2024-05-15,504,1185,374,17077,324
2024-05-16,523,1193,389,17117,347
2024-05-17,491,1141,384,17154,354
2024-05-18,502,1117,417,17212,345
2024-05-19,481,1143,383,17246,343
2024-05-20,504,1155,385,17296,350
2024-05-21,493,1113,401,17356,334
2024-05-22,526,1153,415,17414,348
2024-05-23,526,1129,428,17502,346
2024-05-24,494,1135,383,17541,339
2024-05-25,506,1133,390,17580,339
2024-05-26,517,1123,409,17647,353
2024-05-27,486,1106,400,17702,340
2024-05-28,479,1163,377,17724,356
2024-05-29,494,1186,346,17747,330
2024-05-30,473,1104,368,17803,327
2024-05-31,479,1087,391,17869,330
2024-06-01,451,1099,351,17886,327
2024-06-02,440,1152,325,17874,331
2024-06-03,405,1086,324,17863,324
2024-06-04,397,1071,337,17884,316
2024-06-05,432,1087,320,17885,310
2024-06-06,405,1101,293,17861,307
2024-06-07,410,1138,321,17888,300
2024-06-08,427,1116,329,17890,319
2024-06-09,390,1038,347,17934,301
2024-06-10,413,1129,309,17951,293
2024-06-11,349,1076,277,17930,301
2024-06-12,397,1043,312,17929,306
2024-06-13,373,1114,274,17896,312
2024-06-14,376,1100,287,17891,297
2024-06-15,417,1060,311,17891,300
2024-06-16,382,1029,294,17890,297
2024-06-17,380,1010,310,17892,311
2024-06-18,375,1015,315,17899,305
2024-06-19,360,982,300,17865,332
2024-06-20,387,1097,293,17833,323
2024-06-21,428,1074,331,17850,308
2024-06-22,419,1047,332,17867,308
2024-06-23,400,1064,292,17849,315
2024-06-24,417,1026,333,17863,316
2024-06-25,401,1017,316,17868,312
2024-06-26,428,1000,355,17904,331
2024-06-27,390,1022,291,17872,329
2024-06-28,407,1060,318,17879,315
2024-06-29,403,1035,323,17906,295
2024-06-30,396,1017,307,17878,334
2024-07-01,410,1023,320,17864,344
2024-07-02,388,1028,302,17863,309
2024-07-03,447,1076,341,17883,321
2024-07-04,411,977,327,17867,344
2024-07-05,407,1050,296,17849,311
2024-07-06,392,1029,298,17835,325
2024-07-07,402,1018,333,17819,343
2024-07-08,393,1037,287,17778,331
2024-07-09,399,995,307,17761,320
2024-07-10,402,1046,303,17747,321
2024-07-11,357,1004,272,17713,309
2024-07-12,387,976,318,17724,311
2024-07-13,388,1046,281,17682,322
2024-07-14,359,996,284,17645,315
2024-07-15,326,999,249,17585,303
2024-07-16,362,1013,281,17569,294
2024-07-17,331,956,256,17530,299
2024-07-18,336,1007,246,17502,275
2024-07-19,332,988,272,17522,262
2024-07-20,305,925,248,17490,279
2024-07-21,349,999,270,17469,286
2024-07-22,338,930,278,17468,288
2024-07-23,311,965,246,17412,294
2024-07-24,327,980,252,17386,281
2024-07-25,310,945,238,17347,273
2024-07-26,288,932,233,17309,270
2024-07-27,300,909,237,17248,296
2024-07-28,298,979,203,17152,292
2024-07-29,304,966,199,17078,273
2024-07-30,292,985,233,17036,275
2024-07-31,279,930,229,16963,270
2024-08-01,294,929,221,16926,266
2024-08-02,250,882,235,16890,286
2024-08-03,294,916,209,16819,285
2024-08-04,312,942,242,16804,257
2024-08-05,280,961,179,16730,261
2024-08-06,345,929,270,16741,268
2024-08-07,310,964,238,16715,282
2024-08-08,302,922,229,16639,287
2024-08-09,314,956,225,16577,299
2024-08-10,293,934,235,16546,265
2024-08-11,328,960,240,16494,294
2024-08-12,322,943,263,16474,281
2024-08-13,338,847,284,16480,279
2024-08-14,305,925,220,16426,286
2024-08-15,340,900,268,16356,318
2024-08-16,357,895,268,16322,290
2024-08-17,333,914,245,16311,265
2024-08-18,343,959,257,16257,325
2024-08-19,343,881,266,16243,274
2024-08-20,322,927,239,16192,294
2024-08-21,333,864,246,16161,284
2024-08-22,298,955,209,16079,296
2024-08-23,326,930,226,16038,281
2024-08-24,320,935,233,15979,291
2024-08-25,309,870,240,15946,276
2024-08-26,290,923,199,15879,266
2024-08-27,300,906,218,15825,277
2024-08-28,291,890,223,15750,285
2024-08-29,277,895,216,15687,265
2024-08-30,257,865,198,15618,270
2024-08-31,253,916,171,15534,258
2024-09-01,273,858,225,15502,265
2024-09-02,228,895,170,15417,262
2024-09-03,283,909,198,15368,256
2024-09-04,246,887,192,15297,261
2024-09-05,232,924,162,15205,252
2024-09-06,202,855,141,15088,242
2024-09-07,223,900,136,14986,238
2024-09-08,251,898,172,14956,206
2024-09-09,200,872,142,14867,226
2024-09-10,272,881,196,14810,231
2024-09-11,248,902,138,14693,244
2024-09-12,220,826,193,14648,231
2024-09-13,235,831,167,14584,236
2024-09-14,230,892,150,14515,215
2024-09-15,231,949,149,14440,217
2024-09-16,220,900,159,14370,225
2024-09-17,246,885,168,14297,239
2024-09-18,233,836,178,14275,217
2024-09-19,247,880,176,14192,241
2024-09-20,245,856,177,14129,239
2024-09-21,267,893,193,14087,231
2024-09-22,270,867,194,14028,243
2024-09-23,268,894,199,13967,248
2024-09-24,261,886,162,13885,249
2024-09-25,276,923,194,13822,244
2024-09-26,279,840,205,13769,257
2024-09-27,291,857,230,13776,238
2024-09-28,248,877,180,13698,251
2024-09-29,294,853,226,13649,271
2024-09-30,299,819,242,13640,250
2024-10-01,298,925,226,13599,264
2024-10-02,265,924,176,13539,249
2024-10-03,286,915,208,13493,248
2024-10-04,279,929,202,13438,249
2024-10-05,324,893,226,13432,238
2024-10-06,278,820,218,13410,237
2024-10-07,281,922,184,13344,243
2024-10-08,259,905,172,13298,241
2024-10-09,291,905,194,13282,221
2024-10-10,278,925,194,13240,249
2024-10-11,243,842,183,13193,219
2024-10-12,253,898,164,13110,240
2024-10-13,262,835,211,13087,232
2024-10-14,247,874,169,13062,204
2024-10-15,229,926,139,12968,220
2024-10-16,243,877,182,12930,224
2024-10-17,206,841,158,12860,231
2024-10-18,212,878,172,12826,204
2024-10-19,239,829,165,12763,231
2024-10-20,186,895,118,12636,228
2024-10-21,220,920,151,12582,210
2024-10-22,225,874,170,12571,188
2024-10-23,205,875,139,12484,217
2024-10-24,207,866,143,12428,198
2024-10-25,244,816,188,12402,215
2024-10-26,235,839,180,12401,189
2024-10-27,211,848,162,12365,199
2024-10-28,202,865,170,12327,204
2024-10-29,209,885,147,12292,187
2024-10-30,213,851,149,12235,203
2024-10-31,254,955,173,12197,194
2024-11-01,208,845,176,12193,197
2024-11-02,221,878,152,12131,209
2024-11-03,237,919,152,12071,212
2024-11-04,240,860,181,12049,202
2024-11-05,276,887,199,12035,209
2024-11-06,238,879,159,11971,224
2024-11-07,252,941,163,11921,210
2024-11-08,254,898,177,11880,214
2024-11-09,269,907,188,11845,225
2024-11-10,288,911,206,11825,238
2024-11-11,279,891,206,11820,217
2024-11-12,279,910,222,11806,227
2024-11-13,284,923,198,11763,241
2024-11-14,284,921,205,11729,239
2024-11-15,287,906,208,11701,232
2024-11-16,328,962,228,11687,250
2024-11-17,332,896,247,11701,228
2024-11-18,314,978,206,11701,214
2024-11-19,306,891,234,11683,240
2024-11-20,321,914,238,11703,213
2024-11-21,295,910,208,11667,235
2024-11-22,307,916,229,11693,210
2024-11-23,290,863,212,11693,216
2024-11-24,289,896,214,11688,220
2024-11-25,286,859,218,11692,216
2024-11-26,260,935,152,11633,205
2024-11-27,252,925,179,11581,230
2024-11-28,293,940,205,11575,202
2024-11-29,278,900,200,11579,206
2024-11-30,240,876,177,11552,204
2024-12-01,271,947,194,11533,208
2024-12-02,269,895,170,11500,208
2024-12-03,250,904,183,11506,183
2024-12-04,267,942,193,11506,198
2024-12-05,242,915,167,11475,189
2024-12-06,213,905,151,11437,199
2024-12-07,228,918,158,11416,177
2024-12-08,242,882,176,11419,185
2024-12-09,266,916,189,11438,175
2024-12-10,255,896,199,11424,208
2024-12-11,245,910,171,11377,205
2024-12-12,265,874,190,11387,190
2024-12-13,272,918,181,11358,198
2024-12-14,225,889,174,11323,209
2024-12-15,299,953,205,11347,186
2024-12-16,267,969,173,11332,193
2024-12-17,247,942,162,11318,193
2024-12-18,278,997,202,11317,198
2024-12-19,280,953,205,11326,195
2024-12-20,280,933,194,11311,191
2024-12-21,293,937,205,11299,210
2024-12-22,330,960,259,11337,218
2024-12-23,308,980,211,11306,232
2024-12-24,322,965,226,11301,216
2024-12-25,317,895,256,11327,235
2024-12-26,332,968,236,11333,225
2024-12-27,332,919,251,11336,244
2024-12-28,369,987,292,11396,241
2024-12-29,341,973,219,11379,238
2024-12-30,378,951,277,11410,231
2024-12-31,315,932,251,11408,252
2025-01-01,351,987,254,11387,259
2025-01-02,372,985,242,11392,238
2025-01-03,331,1018,221,11382,230
2025-01-04,365,977,284,11413,245
2025-01-05,351,1026,239,11411,248
2025-01-06,351,955,267,11443,239
2025-01-07,363,924,294,11482,248
2025-01-08,324,1010,236,11492,224
2025-01-09,356,962,261,11512,240
2025-01-10,334,1003,241,11515,235
2025-01-11,354,904,262,11520,251
2025-01-12,358,1041,225,11481,247
2025-01-13,345,1047,236,11498,216
2025-01-14,311,938,255,11511,236
2025-01-15,322,927,257,11566,211
2025-01-16,318,975,233,11553,227
2025-01-17,316,963,248,11555,245
2025-01-18,343,938,258,11589,221
2025-01-19,320,1061,212,11587,212
2025-01-20,289,1001,185,11550,215
2025-01-21,319,998,237,11560,217
